word_id,sentence_id,sentence,word,label
35221,2180,"ang dami ko time mag isip kung ano gagawin ko sa bday ko di nga ako sure kung aabot pa ako ng december , dahil sa lifestyle ko",ang,FIL
35222,2180,"ang dami ko time mag isip kung ano gagawin ko sa bday ko di nga ako sure kung aabot pa ako ng december , dahil sa lifestyle ko",dami,FIL
35223,2180,"ang dami ko time mag isip kung ano gagawin ko sa bday ko di nga ako sure kung aabot pa ako ng december , dahil sa lifestyle ko",ko,FIL
35224,2180,"ang dami ko time mag isip kung ano gagawin ko sa bday ko di nga ako sure kung aabot pa ako ng december , dahil sa lifestyle ko",time,ENG
35225,2180,"ang dami ko time mag isip kung ano gagawin ko sa bday ko di nga ako sure kung aabot pa ako ng december , dahil sa lifestyle ko",mag,FIL
35226,2180,"ang dami ko time mag isip kung ano gagawin ko sa bday ko di nga ako sure kung aabot pa ako ng december , dahil sa lifestyle ko",isip,FIL
35227,2180,"ang dami ko time mag isip kung ano gagawin ko sa bday ko di nga ako sure kung aabot pa ako ng december , dahil sa lifestyle ko",kung,FIL
35228,2180,"ang dami ko time mag isip kung ano gagawin ko sa bday ko di nga ako sure kung aabot pa ako ng december , dahil sa lifestyle ko",ano,FIL
35229,2180,"ang dami ko time mag isip kung ano gagawin ko sa bday ko di nga ako sure kung aabot pa ako ng december , dahil sa lifestyle ko",gagawin,FIL
35230,2180,"ang dami ko time mag isip kung ano gagawin ko sa bday ko di nga ako sure kung aabot pa ako ng december , dahil sa lifestyle ko",ko,FIL
35231,2180,"ang dami ko time mag isip kung ano gagawin ko sa bday ko di nga ako sure kung aabot pa ako ng december , dahil sa lifestyle ko",sa,FIL
35232,2180,"ang dami ko time mag isip kung ano gagawin ko sa bday ko di nga ako sure kung aabot pa ako ng december , dahil sa lifestyle ko",bday,OTH
35233,2180,"ang dami ko time mag isip kung ano gagawin ko sa bday ko di nga ako sure kung aabot pa ako ng december , dahil sa lifestyle ko",ko,FIL
35234,2180,"ang dami ko time mag isip kung ano gagawin ko sa bday ko di nga ako sure kung aabot pa ako ng december , dahil sa lifestyle ko",di,FIL
35235,2180,"ang dami ko time mag isip kung ano gagawin ko sa bday ko di nga ako sure kung aabot pa ako ng december , dahil sa lifestyle ko",nga,FIL
35236,2180,"ang dami ko time mag isip kung ano gagawin ko sa bday ko di nga ako sure kung aabot pa ako ng december , dahil sa lifestyle ko",ako,FIL
35237,2180,"ang dami ko time mag isip kung ano gagawin ko sa bday ko di nga ako sure kung aabot pa ako ng december , dahil sa lifestyle ko",sure,ENG
35238,2180,"ang dami ko time mag isip kung ano gagawin ko sa bday ko di nga ako sure kung aabot pa ako ng december , dahil sa lifestyle ko",kung,FIL
35239,2180,"ang dami ko time mag isip kung ano gagawin ko sa bday ko di nga ako sure kung aabot pa ako ng december , dahil sa lifestyle ko",aabot,FIL
35240,2180,"ang dami ko time mag isip kung ano gagawin ko sa bday ko di nga ako sure kung aabot pa ako ng december , dahil sa lifestyle ko",pa,FIL
35241,2180,"ang dami ko time mag isip kung ano gagawin ko sa bday ko di nga ako sure kung aabot pa ako ng december , dahil sa lifestyle ko",ako,FIL
