word_id,sentence_id,sentence,word,label
16899,1042,"Sagot ni Korina sa kanya , Di naman nya alam na kinukunan ko sya kaya totoo naman na ganyan ang kain nya sa bahay .",kinukunan,FIL
16900,1042,"Sagot ni Korina sa kanya , Di naman nya alam na kinukunan ko sya kaya totoo naman na ganyan ang kain nya sa bahay .",ko,FIL
16901,1042,"Sagot ni Korina sa kanya , Di naman nya alam na kinukunan ko sya kaya totoo naman na ganyan ang kain nya sa bahay .",sya,FIL
16902,1042,"Sagot ni Korina sa kanya , Di naman nya alam na kinukunan ko sya kaya totoo naman na ganyan ang kain nya sa bahay .",kaya,FIL
16903,1042,"Sagot ni Korina sa kanya , Di naman nya alam na kinukunan ko sya kaya totoo naman na ganyan ang kain nya sa bahay .",totoo,FIL
16904,1042,"Sagot ni Korina sa kanya , Di naman nya alam na kinukunan ko sya kaya totoo naman na ganyan ang kain nya sa bahay .",naman,FIL
16905,1042,"Sagot ni Korina sa kanya , Di naman nya alam na kinukunan ko sya kaya totoo naman na ganyan ang kain nya sa bahay .",na,FIL
16906,1042,"Sagot ni Korina sa kanya , Di naman nya alam na kinukunan ko sya kaya totoo naman na ganyan ang kain nya sa bahay .",ganyan,FIL
16907,1042,"Sagot ni Korina sa kanya , Di naman nya alam na kinukunan ko sya kaya totoo naman na ganyan ang kain nya sa bahay .",ang,FIL
16908,1042,"Sagot ni Korina sa kanya , Di naman nya alam na kinukunan ko sya kaya totoo naman na ganyan ang kain nya sa bahay .",kain,FIL
16909,1042,"Sagot ni Korina sa kanya , Di naman nya alam na kinukunan ko sya kaya totoo naman na ganyan ang kain nya sa bahay .",nya,FIL
16910,1042,"Sagot ni Korina sa kanya , Di naman nya alam na kinukunan ko sya kaya totoo naman na ganyan ang kain nya sa bahay .",sa,FIL
16911,1042,"Sagot ni Korina sa kanya , Di naman nya alam na kinukunan ko sya kaya totoo naman na ganyan ang kain nya sa bahay .",bahay,FIL
16912,1042,"Sagot ni Korina sa kanya , Di naman nya alam na kinukunan ko sya kaya totoo naman na ganyan ang kain nya sa bahay .",.,OTH
16913,1043,"Turismo Ang Napoles , kasama ng .",Turismo,FIL
16914,1043,"Turismo Ang Napoles , kasama ng .",Ang,FIL
16915,1043,"Turismo Ang Napoles , kasama ng .",Napoles,OTH
16916,1043,"Turismo Ang Napoles , kasama ng .",",",OTH
16917,1043,"Turismo Ang Napoles , kasama ng .",kasama,FIL
16918,1043,"Turismo Ang Napoles , kasama ng .",ng,FIL
16919,1043,"Turismo Ang Napoles , kasama ng .",.,OTH
16920,1045,Ayeah muling ibalek ang tamis ng pag ibig .,Ayeah,OTH
16921,1045,Ayeah muling ibalek ang tamis ng pag ibig .,muling,FIL
16922,1045,Ayeah muling ibalek ang tamis ng pag ibig .,ibalek,FIL
16923,1045,Ayeah muling ibalek ang tamis ng pag ibig .,ang,FIL
16924,1045,Ayeah muling ibalek ang tamis ng pag ibig .,tamis,FIL
16925,1045,Ayeah muling ibalek ang tamis ng pag ibig .,ng,FIL
16926,1045,Ayeah muling ibalek ang tamis ng pag ibig .,pag,FIL
16927,1045,Ayeah muling ibalek ang tamis ng pag ibig .,ibig,FIL
16928,1045,Ayeah muling ibalek ang tamis ng pag ibig .,.,OTH
16929,1046,"Kalaboso ang isang babae matapos nitong magtangka na magpasok ng shabu sa kulungan sa Tayabas City , kamakalawa .",Kalaboso,FIL
16930,1046,"Kalaboso ang isang babae matapos nitong magtangka na magpasok ng shabu sa kulungan sa Tayabas City , kamakalawa .",ang,FIL
16931,1046,"Kalaboso ang isang babae matapos nitong magtangka na magpasok ng shabu sa kulungan sa Tayabas City , kamakalawa .",isang,FIL
16932,1046,"Kalaboso ang isang babae matapos nitong magtangka na magpasok ng shabu sa kulungan sa Tayabas City , kamakalawa .",babae,FIL
16933,1046,"Kalaboso ang isang babae matapos nitong magtangka na magpasok ng shabu sa kulungan sa Tayabas City , kamakalawa .",matapos,FIL
16934,1046,"Kalaboso ang isang babae matapos nitong magtangka na magpasok ng shabu sa kulungan sa Tayabas City , kamakalawa .",nitong,FIL
16935,1046,"Kalaboso ang isang babae matapos nitong magtangka na magpasok ng shabu sa kulungan sa Tayabas City , kamakalawa .",magtangka,FIL
16936,1046,"Kalaboso ang isang babae matapos nitong magtangka na magpasok ng shabu sa kulungan sa Tayabas City , kamakalawa .",na,FIL
16937,1046,"Kalaboso ang isang babae matapos nitong magtangka na magpasok ng shabu sa kulungan sa Tayabas City , kamakalawa .",magpasok,FIL
16938,1046,"Kalaboso ang isang babae matapos nitong magtangka na magpasok ng shabu sa kulungan sa Tayabas City , kamakalawa .",ng,FIL
16939,1046,"Kalaboso ang isang babae matapos nitong magtangka na magpasok ng shabu sa kulungan sa Tayabas City , kamakalawa .",shabu,FIL
16940,1046,"Kalaboso ang isang babae matapos nitong magtangka na magpasok ng shabu sa kulungan sa Tayabas City , kamakalawa .",sa,FIL
16941,1046,"Kalaboso ang isang babae matapos nitong magtangka na magpasok ng shabu sa kulungan sa Tayabas City , kamakalawa .",kulungan,FIL
16942,1046,"Kalaboso ang isang babae matapos nitong magtangka na magpasok ng shabu sa kulungan sa Tayabas City , kamakalawa .",sa,FIL
16943,1046,"Kalaboso ang isang babae matapos nitong magtangka na magpasok ng shabu sa kulungan sa Tayabas City , kamakalawa .",Tayabas,OTH
16944,1046,"Kalaboso ang isang babae matapos nitong magtangka na magpasok ng shabu sa kulungan sa Tayabas City , kamakalawa .",City,ENG
16945,1046,"Kalaboso ang isang babae matapos nitong magtangka na magpasok ng shabu sa kulungan sa Tayabas City , kamakalawa .",",",OTH
16946,1046,"Kalaboso ang isang babae matapos nitong magtangka na magpasok ng shabu sa kulungan sa Tayabas City , kamakalawa .",kamakalawa,FIL
16947,1046,"Kalaboso ang isang babae matapos nitong magtangka na magpasok ng shabu sa kulungan sa Tayabas City , kamakalawa .",.,OTH
16948,1049,"Sabi nila pag namatay tayo babalik tayo sa pagiging abo , ako pag namatay walang may pake kase walang kwenta ako",Sabi,FIL
16949,1049,"Sabi nila pag namatay tayo babalik tayo sa pagiging abo , ako pag namatay walang may pake kase walang kwenta ako",nila,FIL
16950,1049,"Sabi nila pag namatay tayo babalik tayo sa pagiging abo , ako pag namatay walang may pake kase walang kwenta ako",pag,FIL
16951,1049,"Sabi nila pag namatay tayo babalik tayo sa pagiging abo , ako pag namatay walang may pake kase walang kwenta ako",namatay,FIL
